op	count
fdb	7172
rmb	5784
ldaa	4437
equ	3825
fcb	3007
ldab	2447
bra	2367
brclr	2303
staa	2257
brset	1992
bset	1978
cmpa	1914
jsr	1528
bclr	1461
ldx	1343
ldd	1215
bcc	1175
beq	1080
bne	1022
bcs	977
clr	974
std	897
lde	814
stab	761
cmpb	721
lbra	659
rts	562
clra	559
ste	495
tst	469
clrw	433
ldy	423
clrb	418
jmp	360
tbxk	357
bls	349
cpd	333
oraa	294
adda	278
dec	270
inc	261
dc.w	256
page	241
suba	231
bpl	218
lbcs	211
tde	209
bhi	199
cpe	185
aix	176
lbne	173
emul	170
abx	169
tbyk	166
pulm	165
pshm	151
ted	149
mul	148
lbeq	144
anda	141
lbcc	137
include	136
cpy	133
xgdx	131
asld	130
addb	130
addd	126
bvc	122
tab	120
adce	117
adca	116
nega	115
bmi	112
subb	109
cpx	108
aiy	105
ade	105
tba	104
tsta	94
inca	93
lsrd	91
cba	89
sube	88
adde	87
aslb	87
deca	87
subd	86
incw	83
lsrb	82
clre	81
rord	80
sxt	80
andb	77
lbhi	77
lsre	74
tstw	73
sde	72
psha	72
bge	72
bita	70
incb	69
aby	66
emuls	65
sba	63
even	61
aba	60
pulb	60
decw	59
lsld	59
bvs	58
ore	55
blt	55
lbls	54
stx	54
clrd	54
ande	51
negb	49
orab	48
ble	47
tstb	47
decb	47
ediv	45
pula	45
lslb	45
adcd	43
eora	42
negd	39
idiv	39
nege	38
bitb	37
eore	37
asre	36
pshb	35
role	33
sty	32
lsra	30
ace	29
asle	27
comb	27
tste	25
coma	25
asrd	23
orp	23
bgt	21
xgey	21
boundary	21
asra	20
ldz	19
lblt	19
txy	19
adx	18
lbgt	18
tstd	18
asla	17
xgde	17
lsla	17
xgab	16
list	16
andd	16
tbek	16
*	15
rolb	15
andp	15
rorw	15
lded	15
asrb	14
ord	14
fdiv	13
xgex	13
rola	12
sbca	12
ady	11
lbpl	10
xgdy	10
aex	10
aey	9
eorb	9
lsrw	9
nolist	9
tmet	9
inx	8
rorb	8
sbce	8
rora	8
bsr	8
tbzk	8
tem	8
tyx	8
movb	7
asl	7
tpa	6
rold	6
puly	6
sbcd	6
lbge	5
lsle	5
rore	5
eord	4
pshy	4
aslm	4
comd	4
edivs	3
come	3
tmer	3
rti	3
txkb	3
cmpx	3
lble	3
aez	3
com	3
tbsk	2
lsr	2
fmuls	2
adz	2
xgdz	2
lds	2
clrm	2
adcb	2
org	2
mlist	2
cat_temp_calc_init	2
aiz	2
txz	2
aslw	2
lbsr	2
xgez	2
ifgt	1
ttl	1
nop	1
elsec	1
asct	1
pwm2_control_4	1
fail	1
tsy	1
macro	1
rmac	1
ldhi	1
tdmsk	1
endm	1
endc	1
dex	1
plen	1
cmpy	1
lbmi	1
