mnemonic	modes	bytes	nbytes
adca	dp,dir	17 73 00 08	4
adca	eind	27 43	2
adca	ext	17 73 12 34	4
adca	ext20	17 73 23 45	4
adca	imm8	73 05	2
adca	ix16	17 43 12 34	4
adca	ix8	43 08	2
adca	iy8	53 08	2
adca	iz8	63 08	2
adca	rel	17 73 20 20	4
adcb	dp,dir	17 F3 00 08	4
adcb	eind	27 C3	2
adcb	ext	17 F3 12 34	4
adcb	ext20	17 F3 23 45	4
adcb	imm8	F3 05	2
adcb	ix16	17 C3 12 34	4
adcb	ix8	C3 08	2
adcb	iy8	D3 08	2
adcb	iz8	E3 08	2
adcb	rel	17 F3 20 42	4
adcd	dp,dir	37 F3 00 08	4
adcd	eind	27 83	2
adcd	ext	37 F3 12 34	4
adcd	ext20	37 F3 23 45	4
adcd	imm16	37 B3 12 34	4
adcd	imm8	37 B3 00 05	4
adcd	ix16	37 C3 12 34	4
adcd	ix8	83 08	2
adcd	iy8	93 08	2
adcd	iz8	A3 08	2
adcd	rel	37 F3 20 6A	4
adce	dp,dir	37 73 00 08	4
adce	ext	37 73 12 34	4
adce	ext20	37 73 23 45	4
adce	imm16	37 33 12 34	4
adce	imm8	37 33 00 05	4
adce	ix16	37 43 12 34	4
adce	ix8	37 43 00 08	4
adce	iy8	37 53 00 08	4
adce	iz8	37 63 00 08	4
adce	rel	37 73 20 96	4
adda	dp,dir	17 71 00 08	4
adda	eind	27 41	2
adda	ext	17 71 12 34	4
adda	ext20	17 71 23 45	4
adda	imm8	71 05	2
adda	ix16	17 41 12 34	4
adda	ix8	41 08	2
adda	iy8	51 08	2
adda	iz8	61 08	2
adda	rel	17 71 20 B8	4
addb	dp,dir	17 F1 00 08	4
addb	eind	27 C1	2
addb	ext	17 F1 12 34	4
addb	ext20	17 F1 23 45	4
addb	imm8	F1 05	2
addb	ix16	17 C1 12 34	4
addb	ix8	C1 08	2
addb	iy8	D1 08	2
addb	iz8	E1 08	2
addb	rel	17 F1 20 DA	4
addd	dp,dir	37 F1 00 08	4
addd	eind	27 81	2
addd	ext	37 F1 12 34	4
addd	ext20	37 F1 23 45	4
addd	imm16	37 B1 12 34	4
addd	imm8	FC 05	2
addd	ix16	37 C1 12 34	4
addd	ix8	81 08	2
addd	iy8	91 08	2
addd	iz8	A1 08	2
addd	rel	37 F1 21 00	4
adde	dp,dir	37 71 00 08	4
adde	ext	37 71 12 34	4
adde	ext20	37 71 23 45	4
adde	imm16	37 31 12 34	4
adde	imm8	7C 05	2
adde	ix16	37 41 12 34	4
adde	ix8	37 41 00 08	4
adde	iy8	37 51 00 08	4
adde	iz8	37 61 00 08	4
adde	rel	37 71 21 2A	4
ade	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	27 78	2
adx	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 CD	2
ady	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 DD	2
adz	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 ED	2
aex	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 4D	2
aey	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 5D	2
aez	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 6D	2
aix	imm16	37 3C 12 34	4
aix	imm8	3C 05	2
aiy	imm16	37 3D 12 34	4
aiy	imm8	3D 05	2
aiz	imm16	37 3E 12 34	4
aiz	imm8	3E 05	2
anda	dp,dir	17 76 00 08	4
anda	eind	27 46	2
anda	ext	17 76 12 34	4
anda	ext20	17 76 23 45	4
anda	imm8	76 05	2
anda	ix16	17 46 12 34	4
anda	ix8	46 08	2
anda	iy8	56 08	2
anda	iz8	66 08	2
anda	rel	17 76 22 3E	4
andb	dp,dir	17 F6 00 08	4
andb	eind	27 C6	2
andb	ext	17 F6 12 34	4
andb	ext20	17 F6 23 45	4
andb	imm8	F6 05	2
andb	ix16	17 C6 12 34	4
andb	ix8	C6 08	2
andb	iy8	D6 08	2
andb	iz8	E6 08	2
andb	rel	17 F6 22 60	4
andd	dp,dir	37 F6 00 08	4
andd	eind	27 86	2
andd	ext	37 F6 12 34	4
andd	ext20	37 F6 23 45	4
andd	imm16	37 B6 12 34	4
andd	imm8	37 B6 00 05	4
andd	ix16	37 C6 12 34	4
andd	ix8	86 08	2
andd	iy8	96 08	2
andd	iz8	A6 08	2
andd	rel	37 F6 22 88	4
ande	dp,dir	37 76 00 08	4
ande	ext	37 76 12 34	4
ande	ext20	37 76 23 45	4
ande	imm16	37 36 12 34	4
ande	imm8	37 36 00 05	4
ande	ix16	37 46 12 34	4
ande	ix8	37 46 00 08	4
ande	iy8	37 56 00 08	4
ande	iz8	37 66 00 08	4
ande	rel	37 76 22 B4	4
andp	imm16	37 3A 12 34	4
andp	imm8	37 3A 00 05	4
asl	dp,dir	17 34 00 08	4
asl	ext	17 34 12 34	4
asl	ext20	17 34 23 45	4
asl	ix16	17 04 12 34	4
asl	ix8	04 08	2
asl	iy8	14 08	2
asl	iz8	24 08	2
asl	rel	17 34 22 DA	4
asla	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 04	2
aslb	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 14	2
asld	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	27 F4	2
asle	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	27 74	2
aslm	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	27 B6	2
aslw	dp,dir	27 34 00 08	4
aslw	ext	27 34 12 34	4
aslw	ext20	27 34 23 45	4
aslw	ix16	27 04 12 34	4
aslw	ix8	27 04 00 08	4
aslw	iy8	27 14 00 08	4
aslw	iz8	27 24 00 08	4
aslw	rel	27 34 23 9E	4
asra	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 0D	2
asrb	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	37 1D	2
asrd	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	27 FD	2
asre	inh,imm8,imm16,dp,dir,ext,ext20,ix8,ix16,iy8,iz8,eind,rel,bit,bitbr,reg	27 7D	2
bcc	rel	B4 FA	2
bclr	bit	38 01 00 08	4
bcs	rel	B5 FA	2
beq	rel	B7 FA	2
bge	rel	BC FA	2
bgt	rel	BE FA	2
bhi	rel	B2 FA	2
bita	dp,dir	17 79 00 08	4
bita	eind	27 49	2
bita	ext	17 79 12 34	4
bita	ext20	17 79 23 45	4
bita	imm8	79 05	2
bita	ix16	17 49 12 34	4
bita	ix8	49 08	2
bita	iy8	59 08	2
bita	iz8	69 08	2
bita	rel	17 79 24 54	4
bitb	dp,dir	17 F9 00 08	4
bitb	eind	27 C9	2
bitb	ext	17 F9 12 34	4
bitb	ext20	17 F9 23 45	4
