mnemonic	mode	prefix	operand_len	total
aba	inh	37 0B	0	2
abx	inh	37 4F	0	2
aby	inh	37 5F	0	2
abz	inh	37 6F	0	2
ace	inh	37 22	0	2
adca	eindx	27 43	0	2
adca	eindy	27 53	0	2
adca	eindz	27 63	0	2
adca	ext	17 73	2	4
adca	imm8	73	1	2
adca	ind16x	17 43	2	4
adca	ind16y	17 53	2	4
adca	ind16z	17 63	2	4
adca	ind8x	43	1	2
adca	ind8y	53	1	2
adca	ind8z	63	1	2
adcb	eindx	27 C3	0	2
adcb	eindy	27 D3	0	2
adcb	eindz	27 E3	0	2
adcb	ext	17 F3	2	4
adcb	imm8	F3	1	2
adcb	ind16x	17 C3	2	4
adcb	ind16y	17 D3	2	4
adcb	ind16z	17 E3	2	4
adcb	ind8x	C3	1	2
adcb	ind8y	D3	1	2
adcb	ind8z	E3	1	2
adcd	eindx	27 83	0	2
adcd	eindy	27 93	0	2
adcd	eindz	27 A3	0	2
adcd	ext	37 F3	2	4
adcd	imm16	37 B3	2	4
adcd	ind16x	37 C3	2	4
adcd	ind16y	37 D3	2	4
adcd	ind16z	37 E3	2	4
adcd	ind8x	83	1	2
adcd	ind8y	93	1	2
adcd	ind8z	A3	1	2
adce	ext	37 73	2	4
adce	imm16	37 33	2	4
adce	ind16x	37 43	2	4
adce	ind16y	37 53	2	4
adce	ind16z	37 63	2	4
adda	eindx	27 41	0	2
adda	eindy	27 51	0	2
adda	eindz	27 61	0	2
adda	ext	17 71	2	4
adda	imm8	71	1	2
adda	ind16x	17 41	2	4
adda	ind16y	17 51	2	4
adda	ind16z	17 61	2	4
adda	ind8x	41	1	2
adda	ind8y	51	1	2
adda	ind8z	61	1	2
addb	eindx	27 C1	0	2
addb	eindy	27 D1	0	2
addb	eindz	27 E1	0	2
addb	ext	17 F1	2	4
addb	imm8	F1	1	2
addb	ind16x	17 C1	2	4
addb	ind16y	17 D1	2	4
addb	ind16z	17 E1	2	4
addb	ind8x	C1	1	2
addb	ind8y	D1	1	2
addb	ind8z	E1	1	2
addd	eindx	27 81	0	2
addd	eindy	27 91	0	2
addd	eindz	27 A1	0	2
addd	ext	37 F1	2	4
addd	imm16	37 B1	2	4
addd	imm8	FC	1	2
addd	ind16x	37 C1	2	4
addd	ind16y	37 D1	2	4
addd	ind16z	37 E1	2	4
addd	ind8x	81	1	2
addd	ind8y	91	1	2
addd	ind8z	A1	1	2
adde	ext	37 71	2	4
adde	imm16	37 31	2	4
adde	imm8	7C	1	2
adde	ind16x	37 41	2	4
adde	ind16y	37 51	2	4
adde	ind16z	37 61	2	4
ade	inh	27 78	0	2
adx	inh	37 CD	0	2
ady	inh	37 DD	0	2
adz	inh	37 ED	0	2
aex	inh	37 4D	0	2
aey	inh	37 5D	0	2
aez	inh	37 6D	0	2
aix	imm16	37 3C	2	4
aix	imm8	3C	1	2
aiy	imm16	37 3D	2	4
aiy	imm8	3D	1	2
aiz	imm16	37 3E	2	4
aiz	imm8	3E	1	2
anda	eindx	27 46	0	2
anda	eindy	27 56	0	2
anda	eindz	27 66	0	2
anda	ext	17 76	2	4
anda	imm8	76	1	2
anda	ind16x	17 46	2	4
anda	ind16y	17 56	2	4
anda	ind16z	17 66	2	4
anda	ind8x	46	1	2
anda	ind8y	56	1	2
anda	ind8z	66	1	2
andb	eindx	27 C6	0	2
andb	eindy	27 D6	0	2
andb	eindz	27 E6	0	2
andb	ext	17 F6	2	4
andb	imm8	F6	1	2
andb	ind16x	17 C6	2	4
andb	ind16y	17 D6	2	4
andb	ind16z	17 E6	2	4
andb	ind8x	C6	1	2
andb	ind8y	D6	1	2
andb	ind8z	E6	1	2
andd	eindx	27 86	0	2
andd	eindy	27 96	0	2
andd	eindz	27 A6	0	2
andd	ext	37 F6	2	4
andd	imm16	37 B6	2	4
andd	ind16x	37 C6	2	4
andd	ind16y	37 D6	2	4
andd	ind16z	37 E6	2	4
andd	ind8x	86	1	2
andd	ind8y	96	1	2
andd	ind8z	A6	1	2
ande	ext	37 76	2	4
ande	imm16	37 36	2	4
ande	ind16x	37 46	2	4
ande	ind16y	37 56	2	4
ande	ind16z	37 66	2	4
andp	imm16	37 3A	2	4
asl	ext	17 34	2	4
asl	ind16x	17 04	2	4
asl	ind16y	17 14	2	4
asl	ind16z	17 24	2	4
asl	ind8x	04	1	2
asl	ind8y	14	1	2
asl	ind8z	24	1	2
asla	inh	37 04	0	2
aslb	inh	37 14	0	2
asld	inh	27 F4	0	2
asle	inh	27 74	0	2
aslm	inh	27 B6	0	2
aslw	ext	27 34	2	4
aslw	ind16x	27 04	2	4
aslw	ind16y	27 14	2	4
aslw	ind16z	27 24	2	4
asra	inh	37 0D	0	2
asrb	inh	37 1D	0	2
asrd	inh	27 FD	0	2
asre	inh	27 7D	0	2
bcc	rel8	B4	1	2
bclr	bit	38	3	4
bclr	bitix	17 08	2	4
bclr	bitix16	08	3	4
bclr	bitiy	17 18	2	4
bclr	bitiy16	18	3	4
bclr	bitiz	17 28	2	4
bclr	bitiz16	28	3	4
bcs	rel8	B5	1	2
beq	rel8	B7	1	2
bge	rel8	BC	1	2
bgt	rel8	BE	1	2
bhi	rel8	B2	1	2
bita	eindx	27 49	0	2
bita	eindy	27 59	0	2
bita	eindz	27 69	0	2
bita	ext	17 79	2	4
bita	imm8	79	1	2
bita	ind16x	17 49	2	4
bita	ind16y	17 59	2	4
bita	ind16z	17 69	2	4
bita	ind8x	49	1	2
bita	ind8y	59	1	2
bita	ind8z	69	1	2
bitb	eindx	27 C9	0	2
bitb	eindy	27 D9	0	2
bitb	eindz	27 E9	0	2
bitb	ext	17 F9	2	4
bitb	imm8	F9	1	2
bitb	ind16x	17 C9	2	4
bitb	ind16y	17 D9	2	4
bitb	ind16z	17 E9	2	4
bitb	ind8x	C9	1	2
bitb	ind8y	D9	1	2
bitb	ind8z	E9	1	2
ble	rel8	BF	1	2
bls	rel8	B3	1	2
blt	rel8	BD	1	2
bmi	rel8	BB	1	2
bne	rel8	B6	1	2
bpl	rel8	BA	1	2
bra	rel8	B0	1	2
brclr	bitbr	3A	5	6
brclr	bitbrix	CB	3	4
brclr	bitbrix16	0A	5	6
brclr	bitbriy	DB	3	4
brclr	bitbriy16	1A	5	6
brclr	bitbriz	EB	3	4
brclr	bitbriz16	2A	5	6
brset	bitbr	3B	5	6
brset	bitbrix	8B	3	4
brset	bitbrix16	0B	5	6
brset	bitbriy	9B	3	4
brset	bitbriy16	1B	5	6
brset	bitbriz	AB	3	4
brset	bitbriz16	2B	5	6
bset	bit	39	3	4
bset	bitix	17 09	2	4
bset	bitix16	09	3	4
bset	bitiy	17 19	2	4
bset	bitiy16	19	3	4
bset	bitiz	17 29	2	4
bset	bitiz16	29	3	4
bsr	rel8	36	1	2
bvc	rel8	B8	1	2
bvs	rel8	B9	1	2
cba	inh	37 1B	0	2
clr	ext	17 35	2	4
clr	ind16x	17 05	2	4
clr	ind16y	17 15	2	4
clr	ind16z	17 25	2	4
clr	ind8x	05	1	2
clr	ind8y	15	1	2
clr	ind8z	25	1	2
clra	inh	37 05	0	2
clrb	inh	37 15	0	2
clrd	inh	27 F5	0	2
clre	inh	27 75	0	2
clrm	inh	27 B7	0	2
clrw	ext	27 35	2	4
clrw	ind16x	27 05	2	4
clrw	ind16y	27 15	2	4
clrw	ind16z	27 25	2	4
cmpa	eindx	27 48	0	2
cmpa	eindy	27 58	0	2
cmpa	eindz	27 68	0	2
cmpa	ext	17 78	2	4
cmpa	imm8	78	1	2
cmpa	ind16x	17 48	2	4
cmpa	ind16y	17 58	2	4
cmpa	ind16z	17 68	2	4
cmpa	ind8x	48	1	2
cmpa	ind8y	58	1	2
cmpa	ind8z	68	1	2
cmpb	eindx	27 C8	0	2
cmpb	eindy	27 D8	0	2
cmpb	eindz	27 E8	0	2
cmpb	ext	17 F8	2	4
cmpb	imm8	F8	1	2
cmpb	ind16x	17 C8	2	4
cmpb	ind16y	17 D8	2	4
cmpb	ind16z	17 E8	2	4
cmpb	ind8x	C8	1	2
cmpb	ind8y	D8	1	2
cmpb	ind8z	E8	1	2
cmpx	ext	17 7C	2	4
cmpx	imm16	37 7C	2	4
cmpx	ind16x	17 4C	2	4
cmpx	ind16y	17 5C	2	4
cmpx	ind16z	17 6C	2	4
cmpx	ind8x	4C	1	2
cmpx	ind8y	5C	1	2
cmpx	ind8z	6C	1	2
cmpy	ext	17 7D	2	4
cmpy	imm16	37 7D	2	4
cmpy	ind16x	17 4D	2	4
cmpy	ind16y	17 5D	2	4
cmpy	ind16z	17 6D	2	4
cmpy	ind8x	4D	1	2
cmpy	ind8y	5D	1	2
cmpy	ind8z	6D	1	2
com	ext	17 30	2	4
com	ind16x	17 00	2	4
com	ind16y	17 10	2	4
com	ind16z	17 20	2	4
com	ind8x	00	1	2
com	ind8y	10	1	2
com	ind8z	20	1	2
coma	inh	37 00	0	2
comb	inh	37 10	0	2
comd	inh	27 F0	0	2
come	inh	27 70	0	2
cpd	eindx	27 88	0	2
cpd	eindy	27 98	0	2
cpd	eindz	27 A8	0	2
cpd	ext	37 F8	2	4
