offset	b0	idx	flags	name
2BD78	8	45	0003	adca
2BD8E	7	7	001C	adcb
2BDA4	7	8	001C	adcd
2BDBA	7	9	0010	adce
2BDD0	8	10	0010	add
2BDE6	8	46	000F	adda
2BDFC	7	11	001C	addb
2BE12	7	12	001C	addd
2BE28	7	13	001C	adde
2BE3E	8	14	0010	ade
2BE54	6	15	0010	adx
2BE6A	6	16	0010	ady
2BE80	6	17	0010	adz
2BE96	6	18	0010	aex
2BEAC	6	19	0010	aey
2BEC2	6	20	0010	aez
2BED8	6	21	0010	ais
2BEEE	9	22	0012	aix
2BF04	9	23	0012	aiy
2BF1A	9	24	0010	aiz
2BF30	9	25	0010	and
2BF46	8	47	000F	anda
2BF5C	7	26	001C	andb
2BF72	7	27	001C	andcc
2BF88	9	28	0008	andd
2BF9E	7	29	0010	ande
2BFB4	8	30	0010	andp
2BFCA	9	31	0010	asl
2BFE0	10	32	001F	asla
2BFF6	6	33	001F	aslb
2C00C	6	34	001C	asld
2C022	6	35	001C	asle
2C038	6	36	0010	aslm
2C04E	6	37	0010	aslw
2C064	10	38	0010	aslx
2C07A	6	39	0003	asr
2C090	10	40	001F	asra
2C0A6	6	41	001F	asrb
2C0BC	6	42	001C	asrd
2C0D2	6	43	0010	asre
2C0E8	6	44	0010	asrm
2C0FE	6	45	0010	asrw
2C114	10	46	0010	asrx
2C12A	6	74	0003	bkgnd
2C140	6	47	0008	bclr
2C156	13	49	001F	bclrw
2C16C	13	50	0010	bset
2C182	13	69	001F	bsetw
2C198	13	70	0010	brclr
2C1AE	12	66	001F	brset
2C1C4	12	68	001F	bcc
2C1DA	11	48	001F	bcs
2C1F0	11	51	001F	beq
2C206	11	52	001F	bge
2C21C	11	53	001E	bgt
2C232	11	55	001E	bhcc
2C248	11	75	0003	bhcs
2C25E	11	76	0003	bhi
2C274	11	56	001F	bhs
2C28A	11	77	001F	bih
2C2A0	11	82	0003	bil
2C2B6	11	81	0003	bit
2C2CC	8	48	0003	ble
